# 白银相关行（来源: 今年以来账单报表0301.pdf）
# 共 895 行（总行数 4997）

p1	期初总览 12,753.09 438,321.72 -23,475.00 1,325.83 71,178.98 0.00 -47.91 0.00 625,056.71
p6	(AMD 20260220 CALL 250.0)US NASDAQ 开仓做空 -1 13.70000 -1,370.00 清算费: -0.03
p6	期权交收费: -0.360.002026-02-03
p6	期权交收费: -0.360.002026-02-03
p6	合计 AMD 2 1,460.00 -39.41 1,483.21 USD
p6	期权交收费: -0.54-118.312026-02-26
p6	12:07:59, US/Eastern2026-02-27 USD
p7	期权交收费: -0.360.002026-01-02
p7	期权交收费: -0.360.002026-01-09
p7	(GLD 20260327 CALL 465.0)US ARCA 开仓做空 -1 22.65000 -2,265.00期权监管费: -0.01
p7	期权交收费: -0.180.002026-02-26
p7	14:05:36, US/Eastern2026-02-27 USD
p7	合计 GLD -1 -2,265.00 -3.22 0.00 USD
p8	(HOOD 20260130 CALL 110.0)US NASDAQ 开仓做空 -3 10.55000 -3,165.00期权监管费: -0.04
p8	(HOOD 20260320 CALL 70.0)US NASDAQ 开仓做空 -1 8.70000 -870.00期权监管费: -0.01
p8	合计 HOOD 2 -1,161.00 -21.48 4,775.09 USD
p8	(MSTR 20260313 PUT 105.0)US NASDAQ 开仓做空 -10 5.16000 -5,160.00期权监管费: -0.12
p8	(MSTR 20260313 PUT 120.0)US NASDAQ 开仓 10 9.09000 9,090.00期权监管费: -0.12
p8	(MSTR 20260313 PUT 105.0)US NASDAQ 平仓 10 4.75000 4,750.00期权监管费: -0.12
p9	白银ETF-iShares
p9	(SLV 20260220 CALL 90.0)US ARCA 开仓做空 -1 14.95000 -1,495.00期权监管费: -0.01
p9	白银ETF-iShares
p9	(SLV 20260220 CALL 105.0)US ARCA 开仓做空 -1 8.15000 -815.00期权监管费: -0.01
p9	白银ETF-iShares
p9	(SLV 20260220 CALL 90.0)US ARCA 开仓做空 -1 15.40000 -1,540.00期权监管费: -0.01
p9	白银ETF-iShares
p9	(SLV 20260220 CALL 105.0)US ARCA 开仓做空 -1 8.40000 -840.00期权监管费: -0.01
p9	白银ETF-iShares
p9	(SLV 20260618 CALL 100.0)US ARCA 开仓 2 22.07000 4,414.00期权监管费: -0.02
p9	期权交收费: -0.360.002026-01-29
p9	白银ETF-iShares
p9	(SLV 20260618 CALL 120.0)US ARCA 开仓做空 -2 16.22000 -3,244.00期权监管费: -0.02
p9	期权交收费: -0.360.002026-01-29
p10	白银ETF-iShares
p10	(SLV 20260618 CALL 100.0)US ARCA 开仓 3 22.59000 6,777.00 清算费: -0.08
p10	白银ETF-iShares
p10	(SLV 20260618 CALL 120.0)US ARCA 开仓做空 -3 16.74000 -5,022.00期权监管费: -0.04
p10	白银ETF-iShares
p10	(SLV 20260618 CALL 67.5)US ARCA 开仓 1 11.17000 1,117.00期权监管费: -0.01
p10	白银ETF-iShares
p10	(SLV 20260618 CALL 72.5)US ARCA 开仓做空 -1 9.47000 -947.00期权监管费: -0.01
p10	白银ETF-iShares
p10	(SLV 20260618 CALL 75.0)US ARCA 开仓做空 -1 8.53000 -853.00期权监管费: -0.01
p10	白银ETF-iShares
p10	(SLV 20260618 CALL 67.0)US ARCA 开仓 1 11.03000 1,103.00期权监管费: -0.01
p10	白银ETF-iShares
p10	(SLV 20260618 CALL 67.0)US ARCA 开仓 1 11.00000 1,100.00期权监管费: -0.01
p10	白银ETF-iShares
p10	(SLV 20260618 CALL 75.0)US ARCA 开仓做空 -4 8.35000 -3,340.00期权监管费: -0.04
p10	白银ETF-iShares
